Torque,Biceps,Triceps,Envelope
-2.0431,3.26538E-05,5.95093E-05,-2.00425
-2.17207,3.2959E-05,6.10352E-05,-2.00134
-1.94129,3.50952E-05,5.82886E-05,-1.99845
-1.77838,3.9978E-05,4.69971E-05,-1.9956
-1.8259,3.78418E-05,5.64575E-05,-1.99278
-1.79875,3.23486E-05,6.53076E-05,-1.98999
-1.9345,3.02124E-05,6.53076E-05,-1.98723
-1.95486,3.32642E-05,6.7749E-05,-1.98451
-1.95486,3.35693E-05,5.88989E-05,-1.98182
-2.02953,3.2959E-05,5.98145E-05,-1.97916
-2.23995,3.23486E-05,7.17163E-05,-1.97653
-2.0974,3.05176E-05,6.19507E-05,-1.97393
-1.92771,2.80762E-05,6.34766E-05,-1.97137
-1.83947,2.50244E-05,6.65283E-05,-1.96884
-1.92092,2.44141E-05,7.01904E-05,-1.96634
-1.77838,2.44141E-05,7.01904E-05,-1.96387
-1.77838,2.92969E-05,5.67627E-05,-1.96144
-2.03632,3.479E-05,6.37817E-05,-1.95904
-2.0431,3.2959E-05,6.01196E-05,-1.95666
-2.00916,3.54004E-05,6.53076E-05,-1.95433
-2.13134,3.93677E-05,6.40869E-05,-1.95202
-2.2128,3.63159E-05,6.56128E-05,-1.94974
-1.85983,3.35693E-05,5.46265E-05,-1.9475
-1.83947,3.14331E-05,6.04248E-05,-1.94529
-1.99559,4.39453E-05,6.10352E-05,-1.94311
-1.87341,3.08228E-05,5.98145E-05,-1.94096
-1.75123,4.08936E-05,5.95093E-05,-1.93884
-1.94807,3.78418E-05,5.18799E-05,-1.93675
-1.95486,3.14331E-05,5.52368E-05,-1.9347
-2.04989,2.86865E-05,6.22559E-05,-1.93267
-2.02953,2.96021E-05,6.71387E-05,-1.93068
-2.22637,3.44849E-05,6.40869E-05,-1.92872
-1.91414,3.14331E-05,6.65283E-05,-1.92679
-1.75123,3.75366E-05,6.98853E-05,-1.92489
-1.81911,3.54004E-05,5.79834E-05,-1.92302
-2.13134,3.17383E-05,5.88989E-05,-1.92118
-1.76481,2.41089E-05,5.70679E-05,-1.91937
-1.95486,2.34985E-05,5.09644E-05,-1.9176
-2.0431,3.87573E-05,5.82886E-05,-1.91585
-1.92092,3.32642E-05,6.19507E-05,-1.91413
-2.14492,3.23486E-05,5.67627E-05,-1.91245
-2.13134,2.99072E-05,6.16455E-05,-1.91079
-1.94807,4.02832E-05,6.71387E-05,-1.90917
-1.85305,3.90625E-05,6.31714E-05,-1.90757
-1.74444,2.65503E-05,6.01196E-05,-1.906
-1.77838,2.74658E-05,6.2561E-05,-1.90447
-2.0431,3.63159E-05,6.073E-05,-1.90296
-1.91414,2.86865E-05,6.83594E-05,-1.90148
-1.95486,2.47192E-05,5.64575E-05,-1.90003
-2.0431,3.26538E-05,5.21851E-05,-1.89861
-2.12456,3.14331E-05,5.64575E-05,-1.89722
-2.2128,2.80762E-05,5.46265E-05,-1.89586
-1.85305,2.7771E-05,5.70679E-05,-1.89452
-1.96165,3.35693E-05,5.67627E-05,-1.89322
-1.86662,3.2959E-05,6.65283E-05,-1.89194
-1.77159,3.32642E-05,6.34766E-05,-1.89069
-1.79875,3.60107E-05,5.88989E-05,-1.88947
-2.11777,3.63159E-05,6.28662E-05,-1.88828
-1.98201,3.02124E-05,6.46973E-05,-1.88711
-2.0431,3.63159E-05,6.7749E-05,-1.88598
-2.13134,4.11987E-05,6.16455E-05,-1.88486
-2.33497,3.02124E-05,6.40869E-05,-1.88378
-1.8259,3.23486E-05,6.22559E-05,-1.88273
-1.80553,3.50952E-05,6.68335E-05,-1.8817
-1.86662,3.50952E-05,6.56128E-05,-1.8807
-1.81232,3.78418E-05,6.62231E-05,-1.87972
-1.74444,2.83813E-05,6.50024E-05,-1.87877
-1.99559,3.479E-05,5.76782E-05,-1.87785
-2.10419,3.57056E-05,5.82886E-05,-1.87695
-2.02274,3.38745E-05,5.7373E-05,-1.87608
-2.13134,3.72314E-05,5.67627E-05,-1.87524
-2.30782,3.57056E-05,6.01196E-05,-1.87442
-1.95486,3.44849E-05,5.58472E-05,-1.87363
-1.8259,3.32642E-05,5.15747E-05,-1.87286
-1.81232,4.11987E-05,5.0354E-05,-1.87212
-1.73766,3.54004E-05,6.13403E-05,-1.8714
-1.79196,3.93677E-05,6.37817E-05,-1.8707
-1.96165,4.15039E-05,6.13403E-05,-1.87004
-2.04989,3.57056E-05,5.95093E-05,-1.86939
-2.12456,3.08228E-05,7.47681E-05,-1.86877
-2.02953,2.99072E-05,6.40869E-05,-1.86817
-2.17207,3.41797E-05,6.31714E-05,-1.8676
-2.0974,3.8147E-05,6.28662E-05,-1.86705
-1.79196,3.90625E-05,5.98145E-05,-1.86653
-1.79875,3.17383E-05,5.58472E-05,-1.86603
-1.80553,3.08228E-05,5.43213E-05,-1.86555
-1.6562,3.08228E-05,5.85937E-05,-1.86509
-2.01595,3.75366E-05,5.34058E-05,-1.86466
-2.02953,3.8147E-05,5.18799E-05,-1.86425
-2.19243,3.11279E-05,5.70679E-05,-1.86386
-2.20601,3.20435E-05,6.19507E-05,-1.86349
-2.08383,2.41089E-05,5.34058E-05,-1.86315
-1.81911,2.68555E-05,6.2561E-05,-1.86282
-2.10419,3.05176E-05,7.56836E-05,-1.86252
-1.73766,2.83813E-05,6.92749E-05,-1.86224
-1.75123,3.32642E-05,6.98853E-05,-1.86198
-1.80553,3.75366E-05,7.62939E-05,-1.86174
-1.92771,3.26538E-05,6.43921E-05,-1.86153
-1.9888,3.05176E-05,5.88989E-05,-1.86133
-2.03632,3.20435E-05,6.10352E-05,-1.86115
-2.27389,3.54004E-05,5.46265E-05,-1.86099
-2.0974,3.05176E-05,5.82886E-05,-1.86086
-1.77159,3.11279E-05,6.04248E-05,-1.86074
-1.81232,2.86865E-05,5.52368E-05,-1.86064
-1.92771,3.57056E-05,6.073E-05,-1.86056
-1.72408,3.02124E-05,5.61523E-05,-1.8605
-1.83947,2.74658E-05,5.88989E-05,-1.86046
-2.07704,2.71606E-05,6.53076E-05,-1.86044
-2.17886,3.26538E-05,5.98145E-05,-1.86043
-2.06347,3.20435E-05,5.98145E-05,-1.86045
-2.07704,3.23486E-05,6.19507E-05,-1.86048
-2.01595,3.50952E-05,7.44629E-05,-1.86053
-1.81232,2.86865E-05,6.62231E-05,-1.86059
-1.73766,3.69263E-05,7.08008E-05,-1.86068
-1.78517,3.08228E-05,6.50024E-05,-1.86078
-1.79875,3.38745E-05,7.38525E-05,-1.86089
-1.85305,3.9978E-05,6.28662E-05,-1.86103
-1.97523,3.60107E-05,5.85937E-05,-1.86118
-2.26031,4.15039E-05,5.00488E-05,-1.86135
-2.13134,3.63159E-05,5.24902E-05,-1.86153
-2.16528,2.86865E-05,4.3335E-05,-1.86173
-1.89377,3.32642E-05,5.00488E-05,-1.86194
-1.7105,3.72314E-05,5.92041E-05,-1.86217
-1.80553,3.69263E-05,6.74438E-05,-1.86242
-1.75123,4.11987E-05,6.80542E-05,-1.86268
-1.80553,3.93677E-05,6.19507E-05,-1.86295
-1.9888,3.02124E-05,7.04956E-05,-1.86324
-1.92092,2.96021E-05,6.10352E-05,-1.86354
-1.9888,2.99072E-05,6.19507E-05,-1.86386
-2.38249,3.78418E-05,6.10352E-05,-1.86419
-2.09062,3.66211E-05,6.22559E-05,-1.86453
-1.77159,3.41797E-05,5.70679E-05,-1.86489
-1.75802,3.26538E-05,5.76782E-05,-1.86526
-1.61548,2.59399E-05,6.46973E-05,-1.86564
-1.77838,3.14331E-05,5.95093E-05,-1.86603
-1.73766,3.20435E-05,5.58472E-05,-1.86644
-2.05668,2.47192E-05,5.24902E-05,-1.86686
-2.06347,3.2959E-05,6.13403E-05,-1.86729
-1.98201,3.02124E-05,6.43921E-05,-1.86774
-2.10419,4.11987E-05,5.64575E-05,-1.86819
-2.40964,3.11279E-05,4.88281E-05,-1.86866
-1.77159,2.31934E-05,5.27954E-05,-1.86914
-1.75802,2.2583E-05,5.85937E-05,-1.86963
-1.75802,3.35693E-05,6.50024E-05,-1.87012
-1.75802,2.59399E-05,6.43921E-05,-1.87063
-1.72408,3.02124E-05,7.14111E-05,-1.87115
-1.94807,3.32642E-05,7.38525E-05,-1.87168
-2.07704,3.02124E-05,6.68335E-05,-1.87222
-2.04989,3.11279E-05,6.34766E-05,-1.87277
-1.97523,3.08228E-05,6.53076E-05,-1.87333
-2.17886,3.02124E-05,5.46265E-05,-1.87389
-1.91414,2.44141E-05,5.79834E-05,-1.87447
-1.76481,2.74658E-05,6.04248E-05,-1.87505
-1.77159,3.63159E-05,5.67627E-05,-1.87565
-1.85983,4.24194E-05,5.5542E-05,-1.87625
